pos,Channel,Title,Uploaded,Views,Like,Dislike,Comment
49,ournameismagicVEVO,MAGIC! - Rude (Official Music Video),2013-12-06,1784032865.0, 6671622,   284542,  185760
50,ChainsmokersVEVO,The Chainsmokers & Coldplay - Something Just Like This (Lyric),2017-02-22,1767318956.0, 7579001,   310603,  226748
51,BeckyGVEVO,"Becky G, Bad Bunny - Mayores (Official Video)",2017-07-14,1765869250.0, 5635442,   661672,  294417
52,LMFAOVEVO,"LMFAO ft. Lauren Bennett, GoonRock - Party Rock Anthem (Official Video)",2011-03-09,1759047585.0, 7638555,   396986,  582556
53,Daddy Yankee,Daddy Yankee & Snow - Con Calma (Video Oficial),2019-01-24,1720780861.0, 8251596,   584598,  301378
54,SilentoVEVO,Silentó - Watch Me (Whip/Nae Nae) (Official Music Video),2015-06-25,1708520846.0, 8492906,   958389,  407394
55,ArianaGrandeVevo,Ariana Grande - Side To Side ft. Nicki Minaj,2016-08-30,1701213031.0, 8725306,   523440,  481665
56,DJSnakeVEVO,"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)",2018-10-10,1699867516.0,12813013,   798709,  474084
57,CamilaCabelloVEVO,Camila Cabello - Havana (Official Audio) ft. Young Thug,2017-08-03,1659590253.0, 8655740,   448162,  422589
58,jbalvinVEVO,J. Balvin - Ay Vamos (Official Video),2014-08-29,1657559165.0, 4080952,   277650,  117150
59,BeckyGVEVO,"Becky G, Natti Natasha - Sin Pijama (Official Video)",2018-04-20,1653266142.0, 6259752,   676363,  322029
60,AdeleVEVO,Adele - Rolling in the Deep,2010-11-30,1644996035.0, 6835346,   249476,  359956
61,TheWeekndVEVO,The Weeknd - Starboy (official) ft. Daft Punk,2016-09-28,1643861366.0, 7012650,   485544,  337710
62,Bruno Mars,Bruno Mars - That’s What I Like (Official Video),2017-03-02,1626802110.0, 8865440,   465113,  312026
63,johnlegendVEVO,John Legend - All of Me (Edited Video),2013-10-02,1608952759.0, 8358544,   267750,  193304
64,Marshmello,Marshmello - Alone (Official Music Video),2016-07-02,1607423886.0,15010323,   510603,  792645
65,RickyMartinVEVO,Ricky Martin - Vente Pa' Ca ft. Maluma (Official Music Video),2016-09-22,1600763213.0, 3390675,   380169,  122146
66,DrakeVEVO,Drake - Hotline Bling,2015-10-26,1592031813.0, 7892738,   625416,  404886
67,MalumaVEVO,Maluma - Felices los 4 (Official Video),2017-04-21,1577123266.0, 5329074,   609241,  245342
68,RomeoSantosVEVO,Romeo Santos - Propuesta Indecente (Official Video),2013-09-09,1559082559.0, 3149913,   263601,  104800
69,CNCOVEVO,CNCO - Reggaetón Lento (Bailemos),2016-10-07,1555606444.0, 5219886,   470973,  289544
70,JustinBieberVEVO,Justin Bieber - Love Yourself (Official Music Video),2015-11-14,1530528318.0, 6677627,   477892,  240819
71,Daddy Yankee,Daddy Yankee - Dura (Video Oficial),2018-01-18,1529294876.0, 6681609,   601551,  259787
72,ChainsmokersVEVO,The Chainsmokers - Don't Let Me Down ft. Daya (Official Music Video),2016-04-29,1500621713.0, 8311827,   277459,  247417
73,Christina Perri,Christina Perri - A Thousand Years [Official Music Video],2011-10-26,1495976109.0, 8918996,   232806,  370169
74,JenniferLopezVEVO,Jennifer Lopez - On The Floor ft. Pitbull,2011-03-04,1495393963.0, 4948575,   284351,  366427
75,Piso 21,Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],2017-10-20,1477721563.0, 2829000,   241674,   63289
76,ChinoNachoVEVO,Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),2016-04-20,1458825549.0, 3556188,   283056,  161137
77,AdeleVEVO,Adele - Someone Like You,2011-09-29,1454961633.0, 6393882,   229259,  297837
78,TheWeekndVEVO,The Weeknd - The Hills,2015-05-27,1453160518.0, 7710853,   346014,  259472
79,JessieJVEVO,"Jessie J, Ariana Grande, Nicki Minaj - Bang Bang ft. Ariana Grande, Nicki Minaj",2014-08-26,1451243656.0, 6898592,   357530,  228646
80,SiaVEVO,Sia - Cheap Thrills ft. Sean Paul (Lyric Video),2016-02-11,1450032197.0, 6166859,   259732,  158599
81,RihannaVEVO,Rihanna - Diamonds,2012-11-09,1449134309.0, 6292791,   303740,  322473
82,MalumaVEVO,Maluma - Corazón (Official Video) ft. Nego do Borel,2017-12-08,1442255945.0, 4757200,   493535,  209444
83,Bruno Mars,Bruno Mars - Just The Way You Are [Official Video],2010-09-08,1439388072.0, 5091921,   198866,  205655
84,NickyJamTV,22. Hasta el Amanecer - Nicky Jam | Video Oficial,2016-01-15,1428675636.0, 3878788,   257308,  163030
85,Jason Derulo,Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) (Official Music Video),2017-03-17,1426259112.0, 7217070,   672178,  233508
86,Canal KondZilla,MC Fioti - Bum Bum Tam Tam (KondZilla),2017-03-08,1407237273.0,10161250,   727477,  348770
87,ImagineDragonsVEVO,Imagine Dragons - Thunder,2017-05-03,1393137477.0, 8049629,   395905,  314756
88,Macklemore LLC,MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),2012-08-29,1390405007.0, 7847997,   314211,  460891
89,EllieGouldingVEVO,Ellie Goulding - Burn (Official Video),2013-07-07,1390080182.0, 4823727,   171394,  171127
90,Fueled By Ramen,twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],2016-06-21,1389190647.0, 9659913,   281455,  410079
91,Danny Ocean,Danny Ocean -  Me Rehúso (Official Audio),2016-09-18,1372462903.0, 3949762,   312123,  150832
92,Ozuna,Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),2018-01-30,1371543952.0, 3929666,   438489,  146376
93,MTZ Manuel Turizo,Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial,2017-03-16,1366217233.0, 4084128,   292248,  141967
94,CarlosVivesVEVO,"Carlos Vives, Shakira - La Bicicleta",2016-07-08,1365576891.0, 3375251,   366894,  153044
95,Spinnin' Records,Martin Garrix - Animals (Official Video),2013-06-17,1364502412.0, 8122658,   294149,  291217
96,EminemVEVO,Eminem - Not Afraid (Official Video),2010-06-05,1362729496.0, 8097607,   227289,  816939
97,gotyemusic,Gotye - Somebody That I Used To Know (feat. Kimbra) - official music video,2011-07-05,1360793794.0, 7484676,   368200,  587612
98,ImagineDragonsVEVO,Imagine Dragons - Believer,2017-03-07,1357229208.0,11761144,   330556,  427443
99,DJKhaledVEVO,"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne (Official Video)",2017-04-28,1353677312.0, 7919879,   664663,  373631
100,CalvinHarrisVEVO,Calvin Harris - Summer (Official Video),2014-04-06,1350794992.0, 4236053,   180786,  104895
101,TaylorSwiftVEVO,Taylor Swift - Bad Blood ft. Kendrick Lamar,2015-05-18,1341032643.0, 6893673,   540669,  438609
102,CalvinHarrisVEVO,Calvin Harris & Disciples - How Deep Is Your Love,2015-08-06,1336637076.0, 4263278,   209078,  118780
103,David Guetta,"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",2015-05-19,1336141281.0, 5182403,   265785,  134026
104,toycantando,LA VACA LOLA canciones infantiles,2016-04-13,1332760519.0, 3307623, 1872320,   55745
105,Linkin Park,Numb (Official Video) - Linkin Park,2007-03-05,1324241170.0, 7805288,   187639,  449686
106,GunsNRosesVEVO,Guns N' Roses - November Rain,2009-12-25,1301530353.0, 4304285,   246433,  242975
107,PULCINO PIO,PULCINO PIO - El Pollito Pio (Official video),2012-11-29,1298197067.0, 2684350,   942560,  150011
108,CarlosVivesVEVO,"Carlos Vives, Sebastian Yatra - Robarte un Beso (Official Video)",2017-07-28,1296779376.0, 3283407,   242393,   96752
109,ZaynVEVO,ZAYN - Dusk Till Dawn ft. Sia (Official Music Video),2017-09-07,1293787248.0, 7833566,   265042,  296970
110,officialpsy,PSY - GENTLEMAN M/V,2013-04-13,1288736448.0, 5807369,   866753,  967515
111,RosaliaVEVO,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",2019-03-28,1288590193.0, 5669464,   540333,  203340
112,NickyJamTV,21. El Perdón - Nicky Jam y Enrique Iglesias  [Official Music Video YTMAs],2015-03-23,1285825102.0, 3553453,   199860,   92209
113,NickyJamTV,El Amante - Nicky Jam (Video Oficial)  (Álbum Fénix),2017-01-16,1269155947.0, 3382096,   325350,  115186
114,JoeyMontanaVEVO,Joey Montana - Picky,2015-06-29,1250769906.0, 3036189,   361862,  202500
115,CarlyRaeJepsenVEVO,Carly Rae Jepsen - Call Me Maybe,2012-03-01,1248214426.0, 5721689,   321699,  589729
116,wisinofficalVEVO,Wisin - Escápate Conmigo (Official Video) ft. Ozuna,2017-03-31,1247661992.0, 3211007,   290991,   87951
117,Coldplay,Coldplay - Hymn For The Weekend (Official Video),2016-01-29,1245067004.0, 7005138,   217620,  263467
118,Ozuna,Ozuna - Se Preparó (Video Oficial) | Odisea,2017-08-10,1240709934.0, 4311095,   350647,  171891
119,Coldplay,Coldplay - Paradise (Official Video),2011-10-19,1238109205.0, 5243880,   157636,  268794
120,SamSmithWorldVEVO,Sam Smith - I'm Not The Only One (Official Video),2014-08-01,1231220755.0, 4530568,   166072,  120991
121,Bruno Mars,Bruno Mars - 24K Magic (Official Video),2016-10-07,1221216256.0, 5622154,   344006,  215448
122,KatyPerryVEVO,Katy Perry - Firework (Official),2010-10-28,1219482005.0, 4417045,   227729,  413952
123,KatyPerryVEVO,Katy Perry - Last Friday Night (T.G.I.F.),2011-06-12,1218766279.0, 4702439,   362798,  387230
124,David Guetta,David Guetta - Titanium ft. Sia (Official Video),2011-12-21,1218025321.0, 5637471,   176284,  250951
125,GenteDeZonaVEVO,Gente de Zona - La Gozadera (Official Music Video) ft. Marc Anthony,2015-06-05,1213957936.0, 2333453,   173937,  113609
126,ShawnMendesVEVO,Shawn Mendes - Stitches (Official Video),2015-06-25,1213525052.0, 8264009,   262219,  383485
127,EnriqueIglesiasVEVO,"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox",2017-02-24,1211630743.0, 4736994,   371523,  144710
128,MikePosnerVEVO,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),2016-02-27,1203324134.0, 5501320,   268914,  201090
129,ArianaGrandeVevo,Ariana Grande - Problem ft. Iggy Azalea,2014-05-30,1201572750.0, 5315783,   310829,  274021
130,ChrisJedayVEVO,"Chris Jeday - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel",2017-03-20,1197902043.0, 3821219,   284855,  149168
131,Bounce Patrol - Kids Songs,Baby Shark | Kids Songs and Nursery Rhymes | Animal Songs from Bounce Patrol,2018-05-12,1193815515.0, 2677622, 1472255,   57046
132,MalumaVEVO,Maluma - El Perdedor (Official Music Video),2016-04-22,1180038054.0, 2689050,   192616,  111086
133,PitbullVEVO,Pitbull - Timber ft. Ke$ha (Official Video),2013-11-25,1176553030.0, 3912219,   228961,  135271
134,LadyGagaVEVO,Lady Gaga - Bad Romance (Official Music Video),2009-11-24,1164756498.0, 4345997,   396105,  819317
135,RickyMartinVEVO,Ricky Martin - La Mordidita ft. Yotuel (Official Video),2015-06-12,1158944411.0, 1955915,   211660,   61787
136,PostMaloneVEVO,Post Malone - Congratulations ft. Quavo,2017-01-23,1158033677.0, 6556088,   368598,  239536
137,justintimberlakeVEVO,"Justin Timberlake - CAN'T STOP THE FEELING! (From DreamWorks Animation's ""Trolls"") (Official Video)",2016-05-17,1150087292.0, 4533967,   294376,  153234
138,SamSmithWorldVEVO,Sam Smith - Too Good At Goodbyes (Official Video),2017-09-18,1149291440.0, 5096587,   226665,  121579
139,PinkVEVO,P!nk - Just Give Me A Reason ft. Nate Ruess (Official Music Video),2013-02-05,1138997134.0, 4482222,   174321,  140875
140,TaylorSwiftVEVO,Taylor Swift - Look What You Made Me Do,2017-08-28,1128336189.0, 9221125, 1286615,  734000
141,PrinceRoyceVEVO,Prince Royce - Darte un Beso,2013-08-20,1126104044.0, 2959889,   185075,  125031
142,ImagineDragonsVEVO,Imagine Dragons - Radioactive,2012-12-10,1123087930.0, 6860920,   211055,  304312
143,AronChupaVEVO,AronChupa - I'm an Albatraoz | OFFICIAL VIDEO,2014-10-13,1120791356.0, 7621370,   295245,  244659
144,OneDirectionVEVO,One Direction - What Makes You Beautiful (Official Video),2011-08-19,1117341559.0, 6705767,   438748,1008544
145,Queen Official,Queen – Bohemian Rhapsody (Official Video Remastered),2008-08-01,1101353996.0, 7139879,   238519,  497245
146,DrakeVEVO,Drake - God's Plan,2018-02-17,1098857438.0,11181931,   421689,  559639
147,DonOmarVEVO,Don Omar - Danza Kuduro ft. Lucenzo,2010-08-11,1097821647.0, 3008664,   173416,  185984
148,shakiraVEVO,Shakira - La La La (Brazil 2014) ft. Carlinhos Brown,2014-05-22,1086681967.0, 4636567,   308019,  247073
149,JamesAVEVO,James Arthur - Say You Won't Let Go (Official Music Video),2016-09-09,1078817569.0, 5102057,   148874,  138074
150,Cardi B,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",2018-05-29,1075527725.0, 7177319,   469240,  285349
151,RihannaVEVO,Rihanna - Work (Explicit) ft. Drake,2016-02-22,1072776821.0, 6167058,   575000,  386026
152,iamOTHER,Pharrell Williams - Happy (Official Music Video),2013-11-22,1072454508.0, 4623451,   243764,  161001
153,BLACKPINK,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,2018-06-15,1069905824.0,11769868,   685870,2150064
154,Charlie Puth,Charlie Puth - Attention [Official Video],2017-04-24,1068756460.0, 6928046,   198623,  198620
155,ThaliaVEVO,"Thalía, Natti Natasha - No Me Acuerdo (Video Oficial)",2018-06-01,1067758733.0, 3241141,   394547,  220922
156,SiaVEVO,Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video),2015-01-07,1065395023.0, 3959504,   300616,  275716
157,MileyCyrusVEVO,Miley Cyrus - Wrecking Ball (Official Video),2013-09-09,1060777200.0, 5474654, 1559938,1107851
158,TheWeekndVEVO,The Weeknd - Can't Feel My Face,2015-07-29,1055803565.0, 4659947,   194050,  170638
159,FrenchMontanaVEVO,French Montana - Unforgettable ft. Swae Lee (Official Music Video),2017-04-14,1049694923.0, 4857341,   271659,  128793
160,GunsNRosesVEVO,Guns N' Roses - Sweet Child O' Mine (Official Music Video),2009-12-25,1049065316.0, 4252958,   186005,  170708
161,RagnBoneManVEVO,Rag'n'Bone Man - Human (Official Video),2016-07-21,1049063784.0, 6728946,   216333,  169489
162,jbalvinVEVO,J Balvin - 6 AM ft. Farruko (Official Video),2014-04-04,1039309470.0, 2015196,   130308,   55508
163,ArianaGrandeVevo,Ariana Grande - Break Free ft. Zedd,2014-08-13,1033681364.0, 4639100,   320849,  303871
164,TaylorSwiftVEVO,Taylor Swift - You Belong With Me,2009-06-16,1028304249.0, 5105199,   188953,  322916
165,T-Series Apna Punjab,"Laung Laachi Title Song  Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Movie 2018",2018-02-21,1026522344.0, 3342359,   519769,  213253
166,SamSmithWorldVEVO,Sam Smith - Stay With Me (Official Video),2014-03-28,1025292618.0, 4281204,   149060,  116766
167,NirvanaVEVO,Nirvana - Smells Like Teen Spirit,2009-06-16,1024182845.0, 6038990,   182814,  361863
168,shakiraVEVO,Shakira - Can't Remember to Forget You ft. Rihanna,2014-01-31,1015840085.0, 4099663,   309448,  230908
169,Lil pump,"Lil Pump - ""Gucci Gang"" (Official Music Video)",2017-10-23,1014738382.0, 9929322, 1541026,  747943
170,Alan Walker,Alan Walker - Alone,2016-12-02,1012200043.0, 7749199,   177526,  368134
171,Coldplay,Coldplay - Adventure Of A Lifetime (Official Video),2015-11-29,1008885700.0, 3600080,   220255,  116435
172,Canal KondZilla,MC Kevinho - Olha a Explosão (KondZilla),2016-12-26,1007041679.0, 6522367,   494295,  252446
173,NaughtyBoyVEVO,Naughty Boy - La la la ft. Sam Smith (Official Video),2013-04-18,1005478983.0, 4717943,   319572,  284994
174,Tekashi 6ix9ine,BEBE - 6ix9ine Ft. Anuel AA (Prod. By Ronny J) (Official Music Video),2018-08-31,1002774002.0, 5362026,   656342,  392171
175,a-ha,a-ha - Take On Me (Official 4K Music Video),2010-01-06,996043826.0, 4323097,   157440,  200307
176,EminemVEVO,Eminem - Rap God (Explicit) [Official Video],2013-11-27,996009422.0,11850582,   390197,  932607
177,PitbullVEVO,Pitbull - Rain Over Me ft. Marc Anthony (Official Video),2011-07-22,989074811.0, 2861739,   136483,  155093
178,NickyJamTV,Travesuras - Nicky Jam | Video Oficial,2014-07-03,988486404.0, 2015767,   164819,   59440
179,TheCranberriesVEVO,The Cranberries - Zombie (Official Music Video),2009-06-16,986716856.0, 4698257,   194855,  259469
180,Bad Bunny,Bad Bunny feat. Drake - Mia ( Video Oficial ),2018-10-11,984440885.0, 5341573,   312733,  186221
181,BeyoncéVEVO,Beyoncé - Halo,2009-10-03,982376953.0, 4290379,   153121,  146814
182,MalumaVEVO,Maluma - Sin Contrato (Official Video),2016-08-26,980301256.0, 1896480,   159507,   69364
183,Major Lazer,Major Lazer - Cold Water (feat. Justin Bieber & MØ) (Official Lyric Video),2016-07-22,977863719.0, 4187905,   167174,  214525
184,Zion & Lennox,Zion & Lennox ft. J Balvin - Otra Vez (Video Oficial),2016-08-05,974668757.0, 2143718,   139719,   67924
185,Ultra Music,OMI - Cheerleader (Felix Jaehn Remix) [Official Video],2015-04-08,963942558.0, 4798174,   206692,  157311
186,David Guetta,"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)",2013-04-22,961705888.0, 2686466,   159058,  109303
187,EnriqueIglesiasVEVO,Enrique Iglesias - El Perdedor ft. Marco Antonio Solís,2014-01-20,960607946.0, 2540846,   162607,   74942
188,iggyazaleamusicVEVO,Iggy Azalea - Fancy ft. Charli XCX (Official Music Video),2014-03-04,957533044.0, 4139066,   320642,  233184
189,DaddyYankeeVEVO,Daddy Yankee - Limbo (Video Oficial),2012-10-27,957110954.0, 2868484,   169190,  125434
190,PostMaloneVEVO,"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",2018-10-18,953567093.0, 6485275,   231638,  199712
191,Official Arctic Monkeys,Arctic Monkeys - Do I Wanna Know? (Official Video),2013-06-19,953515266.0, 4841715,   159559,  107690
192,ZaynVEVO,ZAYN - PILLOWTALK (Official Music Video),2016-01-29,952824117.0, 6109165,   490382,  377618
193,EnriqueIglesiasVEVO,Enrique Iglesias - DUELE EL CORAZON ft. Wisin,2016-05-13,952518761.0, 3200719,   193423,  102234
194,AnuelVEVO,"Anuel AA, KAROL G - Secreto",2019-01-15,952138763.0, 5098193,   357122,  219823
195,ChrisBrownVEVO,"Chris Brown - Loyal (Explicit) ft. Lil Wayne, Tyga",2014-03-24,951062264.0, 3562832,   207440,  126973
196,KatyPerryVEVO,Katy Perry - Hot N Cold (Official),2008-10-14,945687636.0, 3408297,   188097,  152737
197,Lukas Graham,Lukas Graham - 7 Years [OFFICIAL MUSIC VIDEO],2015-12-15,943783166.0, 6018503,   200794,  244220
198,twenty one pilots,twenty one pilots - Ride (Official Video),2015-05-13,942590601.0, 6500822,   164997,  254233
199,DJSnakeVEVO,"DJ Snake, Lil Jon - Turn Down for What (Official Video)",2014-03-14,937080441.0, 7252004,   496645,  356116
200,Ozuna,Vaina Loca - Ozuna x Manuel Turizo (Video Oficial),2018-06-28,933640316.0, 2973230,   207805,   80872
201,systemofadownVEVO,System Of A Down - Chop Suey!,2009-10-03,932202152.0, 4651176,   221383,  284503
202,Hear This Music,Arcangel x Bad Bunny X Dj Luian X Mambo Kingz - Tu No Vive Asi [Video oficial],2016-10-02,930521785.0, 3595574,   326396,  191160
203,El Reino Infantil,La Vaca Lola - Canciones de La Granja de Zenón 2,2014-04-12,928082256.0, 1991521, 1100068,   46660
204,Ozuna,Ozuna - Síguelo Bailando (Video Oficial),2017-11-09,925148335.0, 3081614,   221978,  128787
205,Linkin Park,In The End (Official Video) - Linkin Park,2009-10-26,924453395.0, 5425938,   145401,  277759
206,JustinBieberVEVO,Justin Bieber - Never Say Never ft. Jaden Smith (Official Music Video),2010-05-27,924347412.0, 5005975,   666829,  444593
207,Big Hit Labels,BTS (방탄소년단) 'DNA' Official MV,2017-09-18,919327455.0,12106486,   664740,4607541
208,ShawnMendesVEVO,"Shawn Mendes, Camila Cabello - Señorita",2019-06-21,917330535.0,14772338,   422202,  540613
209,MalumaVEVO,Maluma - Borro Cassette (Official Music Video),2015-08-28,914740778.0, 2373439,   156819,  106694
210,Bruno Mars,Bruno Mars - Grenade [Official Video],2010-11-22,913954407.0, 3594907,   111685,  265273
211,NickiMinajAtVEVO,Nicki Minaj - Anaconda,2014-08-20,913673231.0, 4730981, 1633344,  560332
212,JhayCortezVEVO,"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",2019-05-17,912571632.0, 3205896,   201046,   62797
213,KatyPerryVEVO,Katy Perry - Wide Awake (Official),2012-06-18,911220420.0, 3335995,   185011,  227905
214,TygaVEVO,Tyga - Taste (Official Video) ft. Offset,2018-05-16,909603837.0, 4580510,   279914,  105664
215,HaAshVEVO,HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo]),2015-03-06,909516068.0, 2244626,   164794,   48920
